Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing (N events),Chasing duration (sec),Being chased (N events),Being chased duration (sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging correlation,Distance pairs(cm),Together (N events),Time together(min),Contact snout-head (N events),Contact snout-rear (N events),Contact snout-head (1/min),Contact snout-rear (1/min),Approaching (N events),Approaching duration (sec),Being approached (N events),Being approached duration (sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding (N events),Avoiding duration (sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being avoided (N events),Being avoided duration (sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp57R,female,wild,WT,beta,00079481c8,22,2268.801,1810,4.3194,9568,70.13118333,7468,21.23475,74.45058333,266,0.383383333,3.840598573,38.9030943,486.0366599,2.718493974,66.91658333,18.90918333,4.0008,0.08935,28.25050812,17.50031476,0.168731644,154.1699167,3.3229,66.07995,39.56281667,1,1.203,2,2,3,3.203,0.001544853,50.4468187,817,18.84281667,412,407,1.716697543,1.695863835,5,7.094,6,8.313,11,15.407,3,6.077,4,7.671,1,1.594,0.75,0.671714276,2076.398357
Exp57R,female,wild,WT,epsilon,7945855,22,1949.721,2087,5.953683333,9904,79.05678333,7537,19.98328333,85.01046667,214,0.34395,4.336607182,42.3641292,588.6708767,2.970540951,72.07848333,16.29228333,4.585183333,0.022116667,36.750661,14.5002608,0.165648547,151.6249167,4.737383333,61.66366667,46.94353333,2,2.953,1,0.719,3,3.672,0.023150191,49.6755771,818,17.55066667,364,395,1.516693946,1.645862936,6,10.64,8,24.532,14,35.172,2,3.921,6,8.734,4,4.813,1,0.850520234,2323.601643
Exp57R,female,wild,WT,delta,0007947d79,22,2162.899,1882,5.47065,9572,77.06168333,7380,19.50908333,82.53233333,237,0.3714,3.798058843,39.56130679,556.1991708,2.817731985,68.10928333,12.2966,6.09525,0.2888,27.50049463,31.00055758,0.156300458,159.5898,5.303316667,75.15335,39.52548333,2,2.078,2,1.922,4,4,0.053361225,49.7557142,725,15.9043,368,356,1.533360913,1.483360013,7,20.14,8,7.671,15,27.811,4,7.532,6,9.61,2,2.078,1,0.776876258,2200
Exp57R,female,wild,WT,gamma,0007948d25,22,2233.817,1395,3.366833333,6525,55.13603333,4835,14.61165,58.50286667,213,0.3191,4.951970031,44.63945427,416.972229,2.828334379,106.0487,17.34623333,3.917233333,0.020566667,27.50049463,24.75044516,0.208978807,116.60075,1.896633333,50.39878333,31.49876667,0,0,1,2.234,1,2.234,0.02368169,43.63877798,611,10.36873333,236,238,0.98335102,0.991684503,4,5.203,6,11.358,10,16.561,2,2.564,3,7.361,1,4.797,1,0.866706257,2037.787821
Exp57R,female,wild,WT,alpha,0007945c9b,22,2410.714,1925,4.626966667,8743,72.4637,6301,17.45553333,77.09066667,207,0.3282,5.198455308,51.8686506,553.340149,3.222813019,74.92986667,8.569216667,7.691783333,0.155416667,36.5006565,22.75040919,0.153718525,156.4966,4.218683333,60.0633,43.5071,1,0.641,0,0,1,0.641,0.040977601,50.62082597,677,13.13305,404,422,1.68336361,1.758364959,4,8.016,4,9.282,8,17.298,3,2.079,4,4.563,1,2.484,0.768412773,0.706168397,2362.212179
Exp58L,male,wild,WT,gamma,00079451fd,23,2093.911,1108,4.64605,7695,45.0518,6858,30.77705,49.69785,461,1.471016667,3.018001043,16.38692259,461.2310853,1.885683577,125.8709333,12.09543333,0.850216667,0.477316667,23.25036813,47.5007521,0.433596601,102.0298333,13.0541,46.28456667,36.77428333,13,9.439,15,10.873,28,20.312,0.098750655,58.568672,183,2.5781,97,82,0.404173066,0.341672076,0,0,1,1.609,1,1.609,0,0,0,0,0,0,1,0.927982099,2100.162231
Exp58L,male,wild,WT,beta,0007946e6f,23,2209.136,1002,4.20275,9034,42.1276,8703,49.51445,46.33035,429,1.75285,3.032490953,9.910403863,438.7937581,1.362837765,112.2528833,14.3799,0.2429,0.0419,30.50048292,48.75077189,0.318693529,113.3634167,10.7746,34.18818333,65.18441667,8,5.28,10,7.283,18,12.563,0.123207699,59.22402531,110,0.566166667,55,42,0.229170295,0.175002771,1,0.312,1,0.64,2,0.952,1,1.281,2,4,1,2.719,1,0.771306333,2283.738127
Exp58L,male,wild,WT,delta,00079481c8,23,2071.935,756,2.282233333,5201,46.05505,4095,12.86803333,48.33728333,139,0.322583333,4.234574885,38.39766794,303.5932632,2.42822534,136.1230167,21.62726667,6.396416667,1.09925,39.50062543,24.75039188,0.797121212,82.24591667,10.0017,47.17276667,15.3748,1,0.562,4,2.859,5,3.421,0.083751219,41.77023855,202,3.971333333,129,126,0.537508511,0.525008313,0,0,4,2.248,4,2.248,0,0,0,0,0,0,1,0.687592813,2000.324461
Exp58L,male,wild,WT,alpha,0007945de2,23,2622.383,1407,4.736233333,7494,64.51031667,5798,19.0434,69.24655,299,0.726366667,5.410514314,42.45739046,557.1881418,2.234322039,113.99515,18.82591667,0.460983333,1.256766667,38.00060168,51.25081147,0.43444747,107.1751333,12.21498333,53.28743333,36.92988333,20,18.892,6,5.845,26,24.737,0.144455322,64.2735817,299,2.935716667,114,142,0.475007521,0.591676035,3,3.061,0,0,3,3.061,0,0,2,2.719,2,2.719,1,0.905020233,2534.952507
Exp58L,male,wild,WT,epsilon,7946132,23,1997.408,833,3.5496,5140,32.67275,4298,18.94773333,36.22235,291,0.81835,5.184915146,35.0495315,335.3835032,2.135230611,165.70725,5.160983333,2.626816667,0.833966667,12.75020188,53.25084314,0.684269509,69.12796667,2.9524,30.62898333,26.25725,5,4.468,12,11.781,17,16.249,0.094824188,48.55499959,180,1.543516667,85,71,0.354172274,0.295838017,0,0,0,0,0,0,4,8.314,4,8.314,0,0,1,0.715322139,2032.523747
Exp58R,male,wild,WT,alpha,00079474dd,23,2432.68,1203,2.665783333,8705,67.2523,7494,22.53766667,69.91808333,172,0.256983333,4.238067894,36.84811314,406.9354295,2.56093858,121.9659667,16.8769,7.528833333,0.983333333,25.00042362,38.0006439,0.68971258,101.1530667,15.9351,50.73163333,43.16723333,7,7.688,1,1.75,8,9.438,-0.010000171,41.9084848,432,9.783216667,274,294,1.141686012,1.225020757,9,15.608,0,0,9,15.608,0,0,4,8.233,4,8.233,1,1,2451.21438
Exp58R,male,wild,WT,delta,7948811,23,1959.55,709,1.457733333,5418,38.35296667,4870,18.34421667,39.8107,99,0.148,3.291378519,25.48438768,214.8325838,2.393672146,159.9284833,11.3963,2.08635,0.089333333,15.00025417,12.75021605,0.71481125,68.67115,13.5586,30.31948333,28.97361667,1,1.75,1,1.282,2,3.032,0.022888248,33.05855333,344,8.46915,186,202,0.775013132,0.841680928,5,9.516,4,6.141,9,15.657,2,9.203,2,9.203,0,0,1,0.916873415,2200
Exp58R,male,wild,WT,gamma,00079477ca,23,2086.384,1146,2.3571,8374,57.62868333,7348,21.23168333,59.98578333,162,0.23965,3.385663533,31.14917906,324.1960169,2.640785777,132.0573333,15.3339,5.561183333,0.745333333,22.50038126,32.25054647,0.712459632,92.6047,10.27365,45.4481,37.65165,1,0.953,2,2.641,3,3.594,0.064134594,36.78983801,595,16.85701667,400,420,1.666694908,1.750029653,6,10.953,5,7.594,11,18.547,2,16.641,3,24.406,1,7.765,1,0.801499055,2076.398357
