Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp57L,female,wild,WT,alpha,0007944fe9,22,-1.4234337491062095,-0.5886411287793823,0.23210367313554559,0.12419392728159723,0.6437023995828572,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,-4.4219808884992196,-0.3550661994655826,0.0943670367124287,0.1456899769113941,0.7599429863761772,3
Exp57L,female,wild,WT,delta,0007945de2,22,-5.140698114799096,-0.8922339471220048,0.08476057897773394,0.10129924638675887,0.8139401746355072,3
Exp57L,female,wild,WT,delta,0007945de2,22,-4.989473617543245,-0.8766624878672244,0.09062763966116626,0.10249965719118422,0.8068727031476496,3
Exp57L,female,wild,WT,delta,0007945de2,22,-2.965179061830376,-0.5394834010026577,0.1640838493446413,0.12932132007336164,0.7065948305819971,3
Exp57L,female,wild,WT,delta,0007945de2,22,-2.826057589432611,-1.9685755123164894,0.22644251949520391,0.00986426310196487,0.7636932174028312,3
Exp57L,female,wild,WT,delta,0007945de2,22,-3.800625373912566,-0.7357473492358096,0.13602133788879758,0.1134819101546638,0.7504967519565386,3
Exp57L,female,wild,WT,delta,0007945de2,22,-5.541085843912387,-0.8611367075120713,0.06637259177676288,0.10416192238754547,0.8294654858356917,3
Exp57R,female,wild,WT,beta,00079481c8,22,4.497655548193042,-0.6531071341942237,0.48842833761827614,0.11488634393591474,0.39668531844580923,1
Exp57R,female,wild,WT,beta,00079481c8,22,0.2151413112200962,-1.9306243722235614,0.3552920737352446,0.01101916203302622,0.6336887642317293,3
Exp57R,female,wild,WT,beta,00079481c8,22,2.016163556806289,-1.0991025309859686,0.3996706190210022,0.07927872120570252,0.5210506597732953,3
Exp57R,female,wild,WT,beta,00079481c8,22,0.05932390721823278,-1.3921700349508004,0.3273647952626483,0.05609678437284872,0.6165384203645029,3
Exp57R,female,wild,WT,beta,00079481c8,22,-2.1840575966553355,-0.8949718191712331,0.211591620339698,0.0991116214370086,0.6892967582232934,3
Exp57R,female,wild,WT,beta,00079481c8,22,-4.85143011085996,-0.9007403576196789,0.09749442719574943,0.1003970919971346,0.802108480807116,3
Exp57R,female,wild,WT,epsilon,7945855,22,5.666201805449795,-0.8822360189700047,0.54755482606477,0.09497413081218645,0.35747104312304356,1
Exp57R,female,wild,WT,epsilon,7945855,22,2.356376870032793,0.4391760894113941,0.3535476659073541,0.20753799163337242,0.4389143424592735,3
Exp57R,female,wild,WT,epsilon,7945855,22,4.221691537254591,2.1613189733275715,0.36553548763699684,0.3501440525410359,0.28432045982196724,1
Exp57R,female,wild,WT,epsilon,7945855,22,0.9791693351755264,0.533317662739439,0.2908048235429323,0.21631364320768792,0.4928815332493799,3
Exp57R,female,wild,WT,epsilon,7945855,22,0.765351024463191,0.713578621304198,0.2745268832581531,0.231511601948282,0.49396151479356487,3
