Experiment,sex,Hierarchy,PC1,PC2,Dominant_archetype,Type,Genotype,Mice.chips,Last.day.Glicko,Animal,Progesterone,Testosterone,Corticosterone,DHEA,Cort/DHEA,T/Cort,P/Cort,AEA,1&2-AG,OEA,SEA,PEA,1&2-AG/Cort,OEA/PEA,OEA/Cort,AEA/Cort,PEA/Cort,1&2-AG/OEA,Tryptophan,Tyrosine,Glutamate,GABA,Arginine,Glycine/Serine,Asparagine/Aspartate,Glutamate/GABA,Tyrosine/Tryptophan,Aspartate,Asparagine,Serine,Glycine,Archetype1_prob,Archetype2_prob,Archetype3_prob
Exp61L,female,gamma,0.15755052976214165,2.743418423438044,3,wild,WT,7945855,2218.994,26,2.710233,0.44792325,43.208505,7.10451,6.081841675,0.010366553,0.062724526,502.0785,713.65455,44299.71,52736.67,45663.345,16.51652956,0.970137207,1025.254403,11.61989983,1056.813815,0.016109689,14541.12,33106.71,10043.04,291.49,8837.46,0.260647557,0.093394944,34.45414937,2.276764788,4126.99,385.44,6462.75,1684.5,0.2547488463964002,0.0,0.7452511536035997
Exp61R,female,alpha,-0.4797938655097849,1.5997166636662241,3,wild,WT,7946963,2320.078,26,2.3341905,0.87726915,29.175525,11.46636,2.544445229,0.030068667,0.08000509,423.23715,1109.87415,45476.235,54205.2,48847.05,38.04127432,0.930992455,1558.711797,14.50658214,1674.247507,0.024405586,463.08,31296.71,7604.31,202.91,7071.36,0.33276122,0.12993415,37.47627027,67.58380841,5140.45,667.92,9351.3,3111.75,0.23435873097517773,0.005312909512967259,0.7603283595118551
Exp61R,female,beta,3.862955253482451,1.5661687783792493,3,wild,WT,000715d48d,2299.033,26,2.4937335,0.4426191,40.81293,4.2813765,9.532665487,0.01084507,0.061101555,587.83725,1189.19745,46511.01,59047.38,47021.31,29.13776222,0.989147474,1139.614578,14.40321119,1152.117968,0.025568085,11872.8,32035.19,12897.78,259.56,6361.44,0.242332242,0.134315122,49.69093851,2.698200088,5277.44,708.84,8201.55,1987.5,0.398059069859353,0.0,0.601940930140647
Exp61R,female,delta,2.075397592341457,5.631912079219293,3,wild,WT,00079481c8,2138.304,26,2.1986775,0.4088907,29.46051,7.566264,3.893666676,0.013879281,0.074631345,638.35695,1733.91435,57887.865,88661.79,62480.565,58.85554425,0.926493943,1964.930852,21.66822468,2120.824283,0.029952985,1042.44,28916.56,9703.47,218.36,5787.24,0.196882242,0.146279879,44.43794651,27.73930394,4990.16,729.96,6860.7,1350.75,0.29670299475010126,0.0,0.7032970052498988
Exp61R,female,epsilon,2.526427976486261,3.970676146966542,3,wild,WT,7949211,2077.06,26,2.1998115,0.68200515,30.13983,6.6041055,4.563802017,0.022628036,0.072986858,501.1713,871.8192,42961.59,53150.58,44118.27,28.92581677,0.97378229,1425.409168,16.62820593,1463.786292,0.020292992,9922.56,25233.21,10394.37,227.63,6540.66,0.251729536,0.111003455,45.66344506,2.543014101,3829.07,425.04,5940.9,1495.5,0.3217486059302098,0.0,0.6782513940697903
Exp61R,female,gamma,0.5217221338022965,5.073031479500803,3,wild,WT,7945983,2229.671,26,2.470257,0.61485615,26.41216,5.0030325,5.279230147,0.023279283,0.093527262,591.1542,740.9556,44563.365,51211.44,47679.03,28.05357835,0.934653348,1687.229102,22.38189531,1805.192381,0.016627012,12437.88,29144.62,11246.97,263.68,7236.66,0.208736126,0.070386349,42.65386074,2.343214438,3919.51,275.88,6284.25,1311.75,0.2573584852520424,0.0,0.7426415147479576
Exp66R,female,beta,6.81521039187339,0.5275749857016329,1,wild,WT,000794632b,2295.149,35,2.6906985,0.27432,51.835815,7.323372,7.078134908,0.005292094,0.051908097,670.9311,1017.45315,47046.825,59574.69,50987.475,19.62838146,0.922713372,907.6123333,12.94338866,983.6340955,0.021626393,14294.28,38203.67,12321.54,259.56,5912.52,0.252807727,0.093482437,47.47087379,2.672654376,4716.18,440.88,6678.0,1688.25,0.4945484642842272,0.08250840211980559,0.4229431335959673
Exp66R,female,delta,10.610659846355496,2.039197885310169,1,wild,WT,7948045,2063.088,35,2.8067445,0.63291375,44.408655,11.2971645,3.930955861,0.014252036,0.063202646,578.907,1138.67775,39851.595,37328.445,45019.8,25.64089703,0.885201511,897.3835168,13.03590483,1013.761844,0.028572953,8474.16,36987.35,18461.73,232.78,11273.46,0.215516489,0.104330908,79.30977747,4.364721695,6908.02,720.72,8592.15,1851.75,0.618924309257451,0.0,0.381075690742549
Exp66R,female,epsilon,19.762223038143365,0.7382030843730013,1,wild,WT,7945556,1986.544,35,2.26476,0.43470675,47.136735,6.3288135,7.447957662,0.00922225,0.048046603,634.5297,897.9579,40435.605,47812.275,48132.63,19.05006573,0.840087172,857.8363563,13.46146906,1021.127789,0.022207109,6838.08,32129.31,14048.79,261.62,9126.3,0.247825652,0.114768787,53.69922024,4.698586445,5647.18,648.12,7502.25,1859.25,0.9988536659058705,0.0011463340941294654,0.0
Exp66R,female,gamma,4.995478765997506,1.4993942536028222,3,wild,WT,7946132,2274.223,35,1.550151,0.2599911,40.948875,6.457887,6.340909186,0.006349163,0.037855765,595.5201,1174.7106,40685.085,38805.48,47704.545,28.68724965,0.85285553,993.5580648,14.54301492,1164.978159,0.028873249,6305.64,28737.37,9574.11,212.18,5848.14,0.32296045,0.163807577,45.1225846,4.557407337,4109.7,673.2,5924.1,1913.25,0.440903107993025,0.0,0.559096892006975
Exp67L,female,alpha,-1.0064607284480347,0.5540594884287814,3,wild,WT,0006e9dbcd,2589.349,36,2.514807,0.618732,31.80303,6.1792875,5.14671473,0.019455127,0.079074447,905.98095,1809.72225,59682.42,78339.555,58854.6,56.90408272,1.014065511,1876.62685,28.48725263,1850.597254,0.030322535,4288.08,24570.75,8914.08,201.88,4626.66,0.321823319,0.10326394,44.15533981,5.730012033,3451.35,356.4,3609.9,1161.75,0.19092766574435832,0.11577532144827957,0.693297012807362
Exp67L,female,beta,-0.39291927133990895,0.9894719694877517,3,wild,WT,000715a68a,2312.822,36,2.109024,0.6283953,44.67231,5.769333,7.743063193,0.014066774,0.04721099,688.4514,1288.59255,46683.945,57683.745,52793.37,28.84544251,0.884276662,1045.030915,15.41114395,1181.791808,0.027602478,3327.24,30646.92,9641.73,221.45,4303.02,0.284799512,0.119438999,43.53908331,9.21091355,4177.53,498.96,4919.25,1401.0,0.22434513974449788,0.06796400393540057,0.7076908563201016
Exp67L,female,delta,-1.814420154200684,0.5872470928522114,3,wild,WT,0007946e6f,2098.694,36,2.782863,0.8376723,37.12608,8.4321245,4.402933092,0.022562907,0.074957092,502.95735,1070.69445,53295.165,54480.195,53952.885,28.83941558,0.987809364,1435.518239,13.54727862,1453.234088,0.020089898,824.16,29736.49,10410.54,217.33,9434.28,0.215161226,0.108991657,47.90199236,36.08096729,5825.4,634.92,9080.4,1953.75,0.16023267353197027,0.1160654056131196,0.7237019208549101
